Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
49,Exit long,2026-02-27 10:28,ST Flip,1.42,649,1005.95,-86.3,-8.57,0,0.00,-85.38,-8.48,-1622.18,-36.05
49,Entry long,2026-02-26 15:48,Long,1.55,649,1005.95,-86.3,-8.57,0,0.00,-85.38,-8.48,-1622.18,-36.05
50,Exit long,2026-03-03 09:32,ST Flip,1.3,704,985.6,-72.3,-7.33,0,0.00,-71.39,-7.24,-1694.48,-37.66
50,Entry long,2026-03-02 11:54,Long,1.4,704,985.6,-72.3,-7.33,0,0.00,-71.39,-7.24,-1694.48,-37.66
51,Exit long,2026-03-09 10:23,ST Flip,1.23,787,991.62,-25.57,-2.58,69.84,7.04,-24.6,-2.48,-1720.05,-38.22
51,Entry long,2026-03-06 12:25,Long,1.26,787,991.62,-25.57,-2.58,69.84,7.04,-24.6,-2.48,-1720.05,-38.22
52,Exit long,2026-03-10 15:54,Stop,1.22,735,999.6,-104.8,-10.47,0,0.00,-103.9,-10.38,-1824.85,-40.55
52,Entry long,2026-03-09 13:16,Long,1.36,735,999.6,-104.8,-10.47,0,0.00,-103.9,-10.38,-1824.85,-40.55
53,Exit long,2026-03-11 16:35,ST Flip,1.24,757,1006.81,-70.08,-6.95,271.51,26.94,-69.14,-6.86,-1894.92,-42.11
53,Entry long,2026-03-11 13:30,Long,1.33,757,1006.81,-70.08,-6.95,271.51,26.94,-69.14,-6.86,-1894.92,-42.11
54,Exit long,2026-03-11 17:26,ST Flip,1.08,854,1033.34,-112.98,-10.92,41.67,4.03,-112.05,-10.83,-2007.9,-44.62
54,Entry long,2026-03-11 17:00,Long,1.21,854,1033.34,-112.98,-10.92,41.67,4.03,-112.05,-10.83,-2007.9,-44.62
55,Exit long,2026-03-12 14:28,ST Flip,0.9,1041,999.36,-64.4,-6.44,0,0.00,-63.46,-6.34,-2072.3,-46.05
55,Entry long,2026-03-12 13:48,Long,0.96,1041,999.36,-64.4,-6.44,0,0.00,-63.46,-6.34,-2072.3,-46.05
56,Exit long,2026-03-12 15:30,Stop,0.87,1020,989.4,-103.88,-10.49,0,0.00,-102.99,-10.40,-2176.17,-48.36
56,Entry long,2026-03-12 14:53,Long,0.97,1020,989.4,-103.88,-10.49,0,0.00,-102.99,-10.40,-2176.17,-48.36
57,Exit long,2026-03-13 15:47,Stop,0.79,1136,965.6,-70.02,-7.24,0,0.00,-69.13,-7.15,-2246.2,-49.92
57,Entry long,2026-03-13 15:11,Long,0.85,1136,965.6,-70.02,-7.24,0,0.00,-69.13,-7.15,-2246.2,-49.92
58,Exit long,2026-03-16 15:09,ST Flip,0.79,1162,1022.56,-106.52,-10.41,0,0.00,-105.6,-10.32,-2352.72,-52.28
58,Entry long,2026-03-16 09:30,Long,0.88,1162,1022.56,-106.52,-10.41,0,0.00,-105.6,-10.32,-2352.72,-52.28
59,Exit long,2026-03-17 09:46,Stop,0.78,1162,964.46,-59.97,-6.21,0,0.00,-59.06,-6.12,-2412.69,-53.62
59,Entry long,2026-03-17 09:36,Long,0.83,1162,964.46,-59.97,-6.21,0,0.00,-59.06,-6.12,-2412.69,-53.62
60,Exit long,2026-03-17 15:56,ST Flip,0.76,1162,964.46,-83.19,-8.62,45.52,4.71,-82.3,-8.53,-2495.88,-55.46
60,Entry long,2026-03-17 11:32,Long,0.83,1162,964.46,-83.19,-8.62,45.52,4.71,-82.3,-8.53,-2495.88,-55.46
61,Exit long,2026-03-18 09:37,Stop,0.66,1176,952.56,-178.13,-18.68,0,0.00,-177.35,-18.60,-2674,-59.42
